Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10193617,0000046A,false,Rx,4,8,8B,11,0B,0F,0B,19,0B,1B,
10194505,0000047A,false,Rx,4,8,8B,19,0B,1C,0B,17,0B,1B,
10195499,000007EA,false,Rx,4,8,00,00,00,00,00,00,10,0A,
10202468,0000046C,false,Rx,4,6,8B,12,0B,12,0B,1D,00,00,
10203265,0000047C,false,Rx,4,6,8B,1E,0B,1E,0B,1C,00,00,
10204249,000007EC,false,Rx,4,8,0D,0E,00,00,00,00,10,27,
10206986,0000046D,false,Rx,4,6,8B,0E,0B,0D,0B,17,00,00,
10207752,0000047D,false,Rx,4,6,8B,17,0B,17,0B,17,00,00,
10208777,000007ED,false,Rx,4,8,0D,09,00,00,00,00,10,23,
10211980,0000046E,false,Rx,4,6,8B,1B,0B,19,0B,28,00,00,
10212777,0000047E,false,Rx,4,6,8B,2A,0B,27,0B,26,00,00,
10213801,000007EE,false,Rx,4,8,00,01,00,00,00,00,10,0F,
11031168,00000200,false,Rx,4,3,02,00,00,00,00,00,00,00,
11127674,00000460,false,Rx,4,6,8B,11,0B,10,0B,19,00,00,
11128623,00000460,false,Rx,4,8,8B,0E,0B,0E,0B,16,0B,18,
11129948,00000460,false,Rx,4,8,8B,10,0B,0F,0B,1A,0B,1C,
11130871,00000460,false,Rx,4,8,8B,08,0B,08,0B,12,0B,12,
11131772,00000470,false,Rx,4,8,8B,1C,0B,1B,0B,19,0B,1A,
11132685,00000470,false,Rx,4,8,8B,12,0B,13,0B,12,0B,12,
11133699,000007E0,false,Rx,4,8,00,00,00,00,00,00,10,00,
11134683,000007E0,false,Rx,4,8,0D,0B,00,00,00,00,10,18,
11135596,00000470,false,Rx,4,8,80,01,0B,19,0B,1B,0B,18,
11136680,000007E0,false,Rx,4,8,0D,09,00,00,00,00,10,16,
11137522,00000470,false,Rx,4,6,8B,1A,0B,19,0B,1A,00,00,
